in the second of 16:18:23:
	138 new cells on 2.4GHz, 253 new cells on 5 GHz
	0 new predictions on 2.4GHz, 30 new predictions on 5 GHz
in the second of 16:18:24:
	217 new cells on 2.4GHz, 583 new cells on 5 GHz
	4 new predictions on 2.4GHz, 36 new predictions on 5 GHz
in the second of 16:18:25:
	93 new cells on 2.4GHz, 199 new cells on 5 GHz
	12 new predictions on 2.4GHz, 8 new predictions on 5 GHz
in the second of 16:18:26:
	28 new cells on 2.4GHz, 55 new cells on 5 GHz
	4 new predictions on 2.4GHz, 5 new predictions on 5 GHz
in the second of 16:18:27:
	216 new cells on 2.4GHz, 354 new cells on 5 GHz
	24 new predictions on 2.4GHz, 24 new predictions on 5 GHz
in the second of 16:18:28:
	252 new cells on 2.4GHz, 385 new cells on 5 GHz
	24 new predictions on 2.4GHz, 24 new predictions on 5 GHz
in the second of 16:18:29:
	211 new cells on 2.4GHz, 404 new cells on 5 GHz
	20 new predictions on 2.4GHz, 20 new predictions on 5 GHz
in the second of 16:18:31:
	242 new cells on 2.4GHz, 430 new cells on 5 GHz
	20 new predictions on 2.4GHz, 20 new predictions on 5 GHz
in the second of 16:18:32:
	300 new cells on 2.4GHz, 490 new cells on 5 GHz
	20 new predictions on 2.4GHz, 20 new predictions on 5 GHz
in the second of 16:18:33:
	732 new cells on 2.4GHz, 1260 new cells on 5 GHz
	44 new predictions on 2.4GHz, 17 new predictions on 5 GHz
in the second of 16:18:34:
	1014 new cells on 2.4GHz, 1405 new cells on 5 GHz
	44 new predictions on 2.4GHz, 13 new predictions on 5 GHz
in the second of 16:18:35:
	102 new cells on 2.4GHz, 132 new cells on 5 GHz
	4 new predictions on 2.4GHz, 3 new predictions on 5 GHz
24-ALL-tri
[(12.631, 27.700, 45.077), (9.0, 41.277082086711566), 5.255804763598686, 1783261105432971458, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.0, 40.40254639238022), 5.9190559310355955, 1783261105492250205, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.0, 38.64119532179619), 7.3895530914385805, 1783261105611640054, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.0, 31.897158706818903), 13.671091723988416, 1783261106068771813, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.0, 27.627598567378097), 17.823441509299087, 1783261106358175867, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.0, 25.000963547077767), 20.40202185251486, 1783261106536217351, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (9.178417442443653, 8.500000000000002), 36.73989362144448, 1783261107666797626, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (10.41709550059737, 8.500000000000002), 36.64425925512877, 1783261107750759074, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (11.51311544888243, 8.5), 36.59440983197823, 1783261107825050712, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (12.629135055630712, 8.5), 36.577342509368, 1783261107900697989, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (13.665699320230289, 8.5), 36.59198467712838, 1783261107970959536, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (14.740710214016715, 8.5), 36.638155024525965, 1783261108043827115, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.631, 27.700, 45.077), (26.50128338854293, 8.5), 39.11900934095173, 1783261108840995311, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -73, -69]]
[(12.217, 27.700, 46.164), (34.62795587589699, 8.5), 43.82745139747223, 1783261109391846426, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-58, -74, -69]]
[(12.250, 27.700, 46.184), (35.6689509199486, 8.5), 44.36826177419887, 1783261109462408305, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (36.73221956660139, 8.5), 44.93856302285506, 1783261109534479958, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (37.79683639576368, 8.5), 45.527312708291866, 1783261109606642995, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (39.870371825752855, 8.5), 46.722374247308984, 1783261109747193670, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (41.60601054678367, 8.939747453324866), 47.422789795164626, 1783261109888316286, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (41.866408196318446, 10.01991548102467), 46.74380798806772, 1783261109963630911, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (42.126061830589244, 11.096997223184992), 46.08348326398866, 1783261110038730345, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (43.60614202935135, 17.236589158790807), 42.67515505253732, 1783261110466812877, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (43.86239517804222, 18.299565182989937), 42.15321474779411, 1783261110540928791, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (47.776124200637156, 34.5342929804208), 37.38748766913796, 1783261111672893823, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (48.51566565064425, 37.602020476746524), 37.26729063319492, 1783261111886790865, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (48.76702271483721, 38.64468681710251), 37.28720865801319, 1783261111959490688, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (49.02515770964597, 39.71546901779068), 37.33973100654495, 1783261112034150887, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (51.028415016806036, 48.02527710675098), 38.82208771878543, 1783261112613551558, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
[(12.250, 27.700, 46.184), (51.297189594810796, 49.14019387477071), 39.15891292231383, 1783261112691289036, ['NU-AP06163', 'NU-AP06162', 'NU-AP06164'], [(16.350, 27.700, 50.030), (10.830, 27.700, 31.890), (2.960, 27.700, 44.930)], [-57, -74, -69]]
